ano	periodo	codigo	disciplina	matricula	num_Nota	nota	media	situacao
2011	1	1301014	Administração	1072256	1	7	7.3	A
2011	1	1301014	Administração	1072256	2	10	7.3	A
2011	1	1301014	Administração	1072256	3	5	7.3	A
2011	1	1301014	Administração	1081362	F	6	6.3	A
2011	1	1301014	Administração	1081362	1	8	6.3	A
2011	1	1301014	Administração	1081362	2	7.5	6.3	A
2011	1	1301014	Administração	1081362	3	4	6.3	A
2011	1	1301014	Administração	1082624	1	8	8.5	A
2011	1	1301014	Administração	1082624	2	9	8.5	A
2011	1	1301014	Administração	1082624	3	8.5	8.5	A
2011	1	1301014	Administração	1082522	1	7	7.3	A
2011	1	1301014	Administração	1082522	2	8	7.3	A
2011	1	1301014	Administração	1082522	3	7	7.3	A
2011	1	1301014	Administração	1091346	1	6	8.3	A
2011	1	1301014	Administração	1091346	2	10	8.3	A
2011	1	1301014	Administração	1091346	3	9	8.3	A
2011	1	1301014	Administração	1091395	F	6	5.4	A
2011	1	1301014	Administração	1091395	1	3	5.4	A
2011	1	1301014	Administração	1091395	2	7	5.4	A
2011	1	1301014	Administração	1091395	3	5	5.4	A
2011	1	1301014	Administração	109174	F	3	5	A
2011	1	1301014	Administração	109174	1	3.3	5	A
2011	1	1301014	Administração	109174	2	8.5	5	A
2011	1	1301014	Administração	109174	3	7	5	A
2011	1	1301014	Administração	1091758	1	7.5	8	A
2011	1	1301014	Administração	1091758	2	9.5	8	A
2011	1	1301014	Administração	1091758	3	7	8	A
2011	1	1301014	Administração	1091476	1	5.5	8.5	A
2011	1	1301014	Administração	1091476	2	10	8.5	A
2011	1	1301014	Administração	1091476	3	10	8.5	A
2011	1	1301014	Administração	1091451	F	6	6.4	A
2011	1	1301014	Administração	1091451	1	8.2	6.4	A
2011	1	1301014	Administração	1091451	2	7.5	6.4	A
2011	1	1301014	Administração	1091451	3	4	6.4	A
2011	1	1301014	Administração	1091317	1	7	7.8	A
2011	1	1301014	Administração	1091317	2	9.5	7.8	A
2011	1	1301014	Administração	1091317	3	7	7.8	A
2011	1	1301014	Administração	1091169	F	3	4.3	R
