"Nota1","Nota2","Nota3","Final","media","disciplinas"
9.03,6.81,6.69,4.50,7.51,aa
7.65,6.20,7.59,5.50,7.14,adm
8.16,8.28,7.76,0.00,8.07,adsd
7.17,6.71,8.59,5.31,7.49,atal
9.33,9.33,9.33,0.00,9.33,basquetefem
9.24,9.24,9.24,0.00,9.24,basquetmas
6.57,4.34,7.64,4.74,6.18,bd1
5.79,5.29,5.48,5.67,5.52,bd2
5.49,4.36,3.99,4.87,4.61,calculo1
3.72,2.97,3.27,4.49,3.32,calculo2
0.00,0.00,0.00,0.00,0.00,calculo3
0.88,1.94,0.87,4.84,1.23,classica
6.47,6.38,2.87,7.19,5.24,compiladores
6.54,7.44,6.36,5.52,6.78,concorrente
9.38,9.14,9.14,0.00,9.26,didatica
0.00,0.00,0.00,0.00,0.00,didatica2
0.00,0.00,0.00,0.00,0.00,diferenciais
8.53,8.67,8.68,0.00,8.62,direito
4.26,5.43,6.23,4.38,5.30,discreta
4.55,5.41,5.08,4.62,5.01,economia
6.14,5.49,5.86,5.98,5.83,eda
8.70,8.30,8.21,0.00,8.40,empreendedorismo
8.40,8.40,8.48,0.00,8.42,emsoft
8.19,7.66,7.98,5.90,7.94,eptgm2
6.56,6.04,6.63,6.27,6.41,es
9.00,9.00,9.00,0.00,9.00,estagio
8.00,8.00,8.00,0.00,8.00,estagio2
7.79,7.91,7.32,7.70,7.68,eti
0.00,0.00,0.00,0.00,0.00,formais
9.17,7.10,7.53,3.00,7.93,financeira
9.40,9.40,9.40,0.00,9.40,futsal
6.04,5.69,7.50,4.31,6.41,gi
0.00,0.00,0.00,0.00,0.00,grafica
5.56,6.62,6.62,4.83,6.09,grafos
8.74,9.46,9.06,0.00,9.08,gredes
6.95,7.84,8.56,9.00,7.78,ia
0.00,5.50,0.00,0.00,1.83,iarquitet
8.70,8.79,8.79,0.00,8.75,infosoc
7.98,7.92,8.78,6.75,8.23,ingles
7.71,7.09,7.69,4.98,7.50,introducao
6.09,6.03,7.94,3.49,6.69,irc
5.18,5.93,8.20,3.96,6.44,leda
8.03,7.82,7.51,7.47,7.78,les
5.41,4.84,3.49,5.23,4.58,linear
6.09,6.03,7.94,3.49,6.69,lirc
9.32,9.00,6.28,3.33,8.20,loac
5.67,7.08,6.03,5.67,6.26,logica
5.58,4.85,5.45,6.47,5.29,lp1
5.43,5.18,4.16,5.76,4.92,lp2
7.68,7.29,7.48,6.00,7.48,lpt
6.83,7.43,9.20,6.62,7.82,metodologia
4.18,4.73,7.31,6.42,5.41,metodos
7.38,7.42,8.35,4.51,7.71,moderna
7.53,7.00,7.38,6.07,7.30,msn
0.00,0.00,0.00,0.00,0.00,mvirtuais
0.00,0.00,0.00,0.00,0.00,neurais
6.87,6.44,6.42,5.92,6.58,oac
5.43,5.07,5.70,6.47,5.40,p1
6.04,6.03,5.07,5.63,5.71,p2
6.72,7.75,7.75,5.76,7.24,plp
0.00,0.00,0.00,0.00,0.00,predes
5.03,4.64,4.07,3.73,4.58,probabilidade
8.00,8.25,8.43,0.00,8.23,projeto1
8.53,9.08,8.57,0.00,8.73,projeto2
8.34,7.69,8.30,0.00,8.11,realidadevirtual
0.00,0.00,0.00,0.00,0.00,quimica
7.52,7.12,6.92,5.01,7.19,redes
0.00,0.00,0.00,0.00,0.00,redesadhoc
0.00,0.00,0.00,0.00,0.00,relacoeshumanas
0.00,0.00,0.00,0.00,0.00,segredes
9.00,9.00,9.00,0.00,9.00,seminarios
8.27,8.28,6.23,5.78,7.59,si1
5.79,5.38,5.10,5.77,5.42,si2
7.43,6.83,7.41,0.00,7.23,sig
7.01,6.52,6.94,5.86,6.83,so
7.91,8.57,8.57,0.00,8.24,socind
0.00,0.00,0.00,0.00,0.00,srecuperacao
6.82,5.57,5.19,6.08,5.86,teoria
5.48,5.81,5.32,4.56,5.53,vetorial
0.00,0.00,0.00,0.00,0.00,visaocomp
